goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
104016,"4016995730","80","Pin boot of a brake calliper made of vulcanized rubber with: - an inner diameter of not less than 5 mm and an outer diameter of not more than 35 mm - a height of 15 mm or more but not more than 40 mm and - a ribbed design for use in the manufacture of goods of Chapter 87"
103051,"4016995790","80","Other"
83531,"4016999100","10","Other"
83529,"4016999100","80","Rubber-to-metal bonded parts"
83520,"4016999110","80","For technical uses for use in civil aircraft"
83525,"4016999190","80","Other"
90271,"4016999700","80","Other"
90274,"4016999710","80","For technical uses for use in civil aircraft"
93855,"4016999730","80","Tyre moulding bladder"
90276,"4016999790","80","Other"
39704,"4017000000","80","Hard rubber (for example ebonite) in all forms including waste and scrap; articles of hard rubber"
39711,"4100000000","80","RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER"
39712,"4101000000","80","Raw hides and skins of bovine (including buffalo) or equine animals (fresh or salted dried limed pickled or otherwise preserved but not tanned parchment-dressed or further prepared) whether or not dehaired or split"
73569,"4101200000","80","Whole hides and skins unsplit of a weight per skin not exceeding 8 kg when simply dried 10 kg when dry-salted or 16 kg when fresh wet-salted or otherwise preserved"
73570,"4101201000","80","Fresh"
73571,"4101203000","80","Wet-salted"
73572,"4101205000","80","Dried or dry-salted"
95614,"4101208000","80","Other"
73574,"4101500000","80","Whole hides and skins of a weight exceeding 16 kg"
73575,"4101501000","80","Fresh"
73576,"4101503000","80","Wet-salted"
73577,"4101505000","80","Dried or dry-salted"
73578,"4101509000","80","Other"
73579,"4101900000","80","Other including butts bends and bellies"
39724,"4102000000","80","Raw skins of sheep or lambs (fresh or salted dried limed pickled or otherwise preserved but not tanned parchment-dressed or further prepared) whether or not with wool on or split other than those excluded by note 1(c) to this chapter"
39725,"4102100000","80","With wool on"
39726,"4102101000","80","Of lambs"
39727,"4102109000","80","Other"
39728,"4102210000","10","Without wool on"
39729,"4102210000","80","Pickled"
39730,"4102290000","80","Other"
39731,"4103000000","80","Other raw hides and skins (fresh or salted dried limed pickled or otherwise preserved but not tanned parchment-dressed or further prepared) whether or not dehaired or split other than those excluded by note 1(b) or 1(c) to this chapter"
39735,"4103200000","80","Of reptiles"
73583,"4103300000","80","Of swine"
39736,"4103900000","80","Other"
39737,"4104000000","80","Tanned or crust hides and skins of bovine (including buffalo) or equine animals without hair on whether or not split but not further prepared"
73584,"4104110000","10","In the wet state (including wet-blue)"
73585,"4104110000","80","Full grains unsplit; grain splits"
73586,"4104111000","80","Whole bovine (including buffalo) hides and skins of a unit surface area not exceeding 28 square feet (26 m$2)"
73587,"4104115100","10","Other"
73588,"4104115100","20","Of bovine (including buffalo) animals"
73589,"4104115100","80","Whole hides and skins of a unit surface area exceeding 28 square feet (26 m$2)"
73590,"4104115900","80","Other"
73591,"4104119000","80","Other"
73592,"4104190000","80","Other"
73593,"4104191000","80","Whole bovine (including buffalo) hides and skins of a unit surface area not exceeding 28 square feet (26 m$2)"
73594,"4104195100","10","Other"
73595,"4104195100","20","Of bovine (including buffalo) animals"
73596,"4104195100","80","Whole hides and skins of a unit surface area exceeding 28 square feet (26 m$2)"
73597,"4104195900","80","Other"
73598,"4104199000","80","Other"
73600,"4104410000","10","In the dry state (crust)"
73601,"4104410000","80","Full grains unsplit; grain splits"
74430,"4104411100","10","Whole bovine (including buffalo) hides and skins of a unit surface area not exceeding 28 square feet (26 m$2)"
74431,"4104411100","80","East India kip whole or with the head and legs removed each of a net weight of not more than 45 kg not further prepared than vegetable tanned whether or not having undergone certain treatments but obviously unsuitable for immediate use for the manufacture of leather articles"
73604,"4104411900","80","Other"
97644,"4104411910","80","Buffalo leather split chrome tanned synthetic retanned (crust) dry"
97643,"4104411990","80","Other"
73605,"4104415100","10","Other"
73606,"4104415100","20","Of bovine (including buffalo) animals"
73607,"4104415100","80","Whole hides and skins of a unit surface area exceeding 28 square feet (26 m$2)"
73608,"4104415900","80","Other"
73609,"4104419000","80","Other"
73610,"4104490000","80","Other"
73611,"4104491100","10","Whole bovine (including buffalo) hides and skins of a unit surface area not exceeding 28 square feet (26 m$2)"
73612,"4104491100","80","East India kip whole or with the head and legs removed each of a net weight of not more than 45 kg not further prepared than vegetable tanned whether or not having undergone certain treatments but obviously unsuitable for immediate use for the manufacture of leather articles"
73613,"4104491900","80","Other"
73614,"4104495100","10","Other"
73615,"4104495100","20","Of bovine (including buffalo) animals"
73616,"4104495100","80","Whole hides and skins of a unit surface area exceeding 28 square feet (26 m$2)"
73617,"4104495900","80","Other"
73618,"4104499000","80","Other"
39767,"4105000000","80","Tanned or crust skins of sheep or lambs without wool on whether or not split but not further prepared"
73619,"4105100000","80","In the wet state (including wet-blue)"
73622,"4105300000","80","In the dry state (crust)"
73623,"4105301000","80","Of Indian hair sheep vegetable pre-tanned whether or not having undergone certain treatments but obviously unsuitable for immediate use for the manufacture of leather articles"
95615,"4105309000","80","Other"
39781,"4106000000","80","Tanned or crust hides and skins of other animals without wool or hair on whether or not split but not further prepared"
73627,"4106210000","10","Of goats or kids"
73628,"4106210000","80","In the wet state (including wet-blue)"
73631,"4106220000","80","In the dry state (crust)"
73632,"4106221000","80","Of Indian goat or kid vegetable pre-tanned whether or not having undergone certain treatments but obviously unsuitable for immediate use for the manufacture of leather articles"
73633,"4106229000","80","Other"
73634,"4106310000","10","Of swine"
73635,"4106310000","80","In the wet state (including wet-blue)"
93440,"4106310010","80","Not split"
93441,"4106310090","80","Split"
73638,"4106320000","80","In the dry state (crust)"
73641,"4106400000","80","Of reptiles"
73642,"4106401000","80","Vegetable pre-tanned"
73643,"4106409000","80","Other"
73644,"4106910000","10","Other"
73645,"4106910000","80","In the wet state (including wet-blue)"
73646,"4106920000","80","In the dry state (crust)"
39789,"4107000000","80","Leather further prepared after tanning or crusting including parchment-dressed leather of bovine (including buffalo) or equine animals without hair on whether or not split other than leather of heading 4114"
73647,"4107110000","10","Whole hides and skins"
73648,"4107110000","80","Full grains unsplit"
73649,"4107111100","10","Bovine (including buffalo) leather of a unit surface area not exceeding 28 square feet (26 m$2)"
73650,"4107111100","80","Boxcalf"
73651,"4107111900","80","Other"
73652,"4107119000","80","Other"
73653,"4107120000","80","Grain splits"
73654,"4107121100","10","Bovine (including buffalo) leather of a unit surface area not exceeding 28 square feet (26 m$2)"
73655,"4107121100","80","Boxcalf"
73656,"4107121900","80","Other"
73657,"4107129100","10","Other"
73658,"4107129100","80","Bovine (including buffalo) leather"
73673,"4107129900","80","Equine leather"
73660,"4107190000","80","Other"
73661,"4107191000","80","Bovine (including buffalo) leather of a unit surface area not exceeding 28 square feet (26 m$2)"
73662,"4107199000","80","Other"
73663,"4107910000","10","Other including sides"
73664,"4107910000","80","Full grains unsplit"
73665,"4107911000","80","Sole leather"
73666,"4107919000","80","Other"
73667,"4107920000","80","Grain splits"
73668,"4107921000","80","Bovine (including buffalo) leather"
73674,"4107929000","80","Equine leather"
73670,"4107990000","80","Other"
73671,"4107991000","80","Bovine (including buffalo) leather"
73672,"4107999000","80","Equine leather"
73675,"4112000000","80","Leather further prepared after tanning or crusting including parchment-dressed leather of sheep or lamb without wool on whether or not split other than leather of heading 4114"
73676,"4113000000","80","Leather further prepared after tanning or crusting including parchment-dressed leather of other animals without wool or hair on whether or not split other than leather of heading 4114"
73678,"4113100000","80","Of goats or kids"
73679,"4113200000","80","Of swine"
73680,"4113300000","80","Of reptiles"
73681,"4113900000","80","Other"
73682,"4114000000","80","Chamois (including combination chamois) leather; patent leather and patent laminated leather; metallised leather"
73683,"4114100000","80","Chamois (including combination chamois) leather"
73684,"4114101000","80","Of sheep or lambs"
73685,"4114109000","80","Of other animals"
73686,"4114200000","80","Patent leather and patent laminated leather; metallised leather"
73687,"4115000000","80","Composition leather with a basis of leather or leather fibre in slabs sheets or strip whether or not in rolls; parings and other waste of leather or of composition leather not suitable for the manufacture of leather articles; leather dust powder and flour"
73688,"4115100000","80","Composition leather with a basis of leather or leather fibre in slabs sheets or strip whether or not in rolls"
73689,"4115200000","80","Parings and other waste of leather or of composition leather not suitable for the manufacture of leather articles; leather dust powder and flour"
39807,"4200000000","80","ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)"
39808,"4201000000","80","Saddlery and harness for any animal (including traces leads knee pads muzzles saddle-cloths saddlebags dog coats and the like) of any material"
69691,"4201000010","80","Riding saddles of leather hand-made"
69692,"4201000090","80","Other"
